Char	Script
<unk>	Others
<pad>	Others
<ws>	Others
a	Basic Latin[g]
e	Basic Latin[g]
i	Basic Latin[g]
n	Basic Latin[g]
t	Basic Latin[g]
o	Basic Latin[g]
r	Basic Latin[g]
s	Basic Latin[g]
l	Basic Latin[g]
m	Basic Latin[g]
d	Basic Latin[g]
u	Basic Latin[g]
k	Basic Latin[g]
g	Basic Latin[g]
h	Basic Latin[g]
p	Basic Latin[g]
ا	Arabic
y	Basic Latin[g]
c	Basic Latin[g]
v	Basic Latin[g]
b	Basic Latin[g]
а	Cyrillic
о	Cyrillic
ن	Arabic
و	Arabic
j	Basic Latin[g]
и	Cyrillic
་	Tibetan
н	Cyrillic
ی	Arabic
z	Basic Latin[g]
ر	Arabic
f	Basic Latin[g]
م	Arabic
ل	Arabic
т	Cyrillic
е	Cyrillic
ت	Arabic
د	Arabic
ه	Arabic
ە	Arabic
р	Cyrillic
w	Basic Latin[g]
д	Cyrillic
்	Tamil
ى	Arabic
ب	Arabic
ک	Arabic
м	Cyrillic
്	Malayalam
с	Cyrillic
л	Cyrillic
в	Cyrillic
ा	Devanagari
-	Basic Latin[g]
س	Arabic
​	General Punctuation
ა	Georgian
ա	Armenian
к	Cyrillic
у	Cyrillic
ي	Arabic
်	Myanmar
q	Basic Latin[g]
ი	Georgian
α	Greek and Coptic
г	Cyrillic
र	Devanagari
х	Cyrillic
б	Cyrillic
್	Kannada
á	Latin-1 Supplement[h]
क	Devanagari
्	Devanagari
া	Bengali
ე	Georgian
ն	Armenian
э	Cyrillic
े	Devanagari
க	Tamil
'	Basic Latin[g]
é	Latin-1 Supplement[h]
్	Telugu
न	Devanagari
ு	Tamil
ə	Latin
ి	Telugu
ش	Arabic
ে	Bengali
ា	Khmer
្	Khmer
ા	Gujarati
τ	Greek and Coptic
з	Cyrillic
ق	Arabic
ä	Latin-1 Supplement[h]
්	Sinhala
י	Hebrew
ന	Malayalam
র	Bengali
ו	Hebrew
ི	Tibetan
ు	Telugu
ಿ	Kannada
ह	Devanagari
න	Sinhala
ο	Greek and Coptic
ı	Latin
న	Telugu
ా	Telugu
ು	Kannada
ε	Greek and Coptic
п	Cyrillic
ി	Malayalam
த	Tamil
ո	Armenian
ι	Greek and Coptic
ས	Tibetan
й	Cyrillic
ி	Tamil
ि	Devanagari
ക	Malayalam
ད	Tibetan
ز	Arabic
ë	Latin-1 Supplement[h]
я	Cyrillic
ે	Gujarati
ր	Armenian
स	Devanagari
ئ	Arabic
ു	Malayalam
ု	Myanmar
တ	Myanmar
ե	Armenian
ာ	Myanmar
ි	Sinhala
پ	Arabic
í	Latin-1 Supplement[h]
ν	Greek and Coptic
ს	Georgian
า	Thai
म	Devanagari
ನ	Kannada
း	Myanmar
რ	Georgian
က	Myanmar
ې	Arabic
ག	Tibetan
ន	Khmer
ದ	Kannada
å	Latin-1 Supplement[h]
น	Thai
ོ	Tibetan
ה	Hebrew
त	Devanagari
ہ	Arabic
ك	Arabic
?	Basic Latin[g]
ေ	Myanmar
ो	Devanagari
ч	Cyrillic
،	Arabic
ರ	Kannada
ව	Sinhala
ိ	Myanmar
่	Thai
క	Telugu
্	Bengali
მ	Georgian
خ	Arabic
ি	Bengali
ത	Malayalam
ð	Latin-1 Supplement[h]
ம	Tamil
ի	Armenian
ર	Gujarati
ಾ	Kannada
ర	Telugu
і	Cyrillic
ო	Georgian
ක	Sinhala
ल	Devanagari
ö	Latin-1 Supplement[h]
ೆ	Kannada
ང	Tibetan
ാ	Malayalam
ے	Arabic
य	Devanagari
ক	Bengali
ন	Bengali
ج	Arabic
ల	Telugu
ར	Tibetan
ப	Tamil
x	Basic Latin[g]
ü	Latin-1 Supplement[h]
ל	Hebrew
ತ	Kannada
့	Myanmar
ම	Sinhala
ం	Telugu
ी	Devanagari
‌	General Punctuation
ۇ	Arabic
ය	Sinhala
چ	Arabic
ó	Latin-1 Supplement[h]
ா	Tamil
ન	Gujarati
ர	Tamil
བ	Tibetan
א	Hebrew
ш	Cyrillic
ပ	Myanmar
گ	Arabic
ත	Sinhala
մ	Armenian
ી	Gujarati
ร	Thai
ع	Arabic
រ	Khmer
ვ	Georgian
อ	Thai
π	Greek and Coptic
ವ	Kannada
ف	Arabic
ь	Cyrillic
ж	Cyrillic
ប	Khmer
ര	Malayalam
เ	Thai
ક	Gujarati
ා	Sinhala
ಲ	Kannada
မ	Myanmar
μ	Greek and Coptic
ρ	Greek and Coptic
ན	Tibetan
ེ	Tibetan
ง	Thai
ւ	Armenian
κ	Greek and Coptic
ன	Tamil
σ	Greek and Coptic
ব	Bengali
ת	Hebrew
დ	Georgian
ก	Thai
ಗ	Kannada
န	Myanmar
प	Devanagari
ნ	Georgian
ட	Tamil
ं	Devanagari
ત	Gujarati
യ	Malayalam
ல	Tamil
ु	Devanagari
ত	Bengali
ม	Thai
מ	Hebrew
வ	Tamil
υ	Greek and Coptic
ێ	Arabic
ლ	Georgian
ក	Khmer
འ	Tibetan
ş	Latin
્	Gujarati
ž	Latin
ש	Hebrew
ბ	Georgian
ྱ	Tibetan
ಕ	Kannada
้	Thai
ү	Cyrillic
త	Telugu
ត	Khmer
š	Latin
ר	Hebrew
ស	Khmer
మ	Telugu
à	Latin-1 Supplement[h]
လ	Myanmar
െ	Malayalam
མ	Tibetan
ă	Latin
ప	Telugu
ں	Arabic
వ	Telugu
મ	Gujarati
ු	Sinhala
ै	Devanagari
è	Latin-1 Supplement[h]
կ	Armenian
ં	Gujarati
င	Myanmar
的	Han
ี	Thai
თ	Georgian
ട	Malayalam
ை	Tamil
ς	Greek and Coptic
ั	Thai
ස	Sinhala
č	Latin
ല	Malayalam
ો	Gujarati
ద	Telugu
غ	Arabic
ற	Tamil
ུ	Tibetan
ב	Hebrew
ង	Khmer
ы	Cyrillic
ර	Sinhala
ម	Khmer
ح	Arabic
ว	Thai
স	Bengali
ဲ	Myanmar
ಮ	Kannada
ম	Bengali
ब	Devanagari
ם	Hebrew
മ	Malayalam
ú	Latin-1 Supplement[h]
व	Devanagari
ள	Tamil
ಂ	Kannada
ရ	Myanmar
പ	Malayalam
ய	Tamil
വ	Malayalam
ά	Greek and Coptic
λ	Greek and Coptic
ល	Khmer
ۆ	Arabic
η	Greek and Coptic
చ	Telugu
យ	Khmer
ಸ	Kannada
ç	Latin-1 Supplement[h]
द	Devanagari
વ	Gujarati
